date.x,plate,blood_num,s1,s2,blood_num_mother,brood_size,cort_s1_mother,cort_s2_mother,Species,Nestbox,year,habitat,canopy_cover,site,attempt_id,date.y,juliandate,ind_id,band_number,occasion,Age,age,Sex,meanh,meanmaxtempI,weight,wing,tail,skull,bill,tarsus,gweight,gwing,gtail,gskull,gbill,gtarsus,condition
9/5/2023,A02,B557,93.91,98.615,NA,4,NA,NA,WEBL,BRO2,2023,Orchard,88.634,WI,2023_BRO2_1,2023-07-11,192,3181-01215,NA,2,L,6,U,52.91530815972222,32.3085625,16.3,17,0,25.9,3.6,15.8,2.266666666666667,1.6666666666666667,0,1.7999999999999998,0.2333333333333333,1.7000000000000002,1.0316455696202531
9/5/2023,A02,B558,116.85,340.1,NA,4,NA,NA,WEBL,BRO2,2023,Orchard,88.634,WI,2023_BRO2_1,2023-07-11,192,3181-01217,NA,1,L,6,U,52.91530815972222,32.3085625,14.9,17,0,25,4,16.1,NA,NA,NA,NA,NA,NA,0.9254658385093167
9/5/2023,A02,B560,93.115,135.1,B545,1,103.445,238.5,WEBL,RRRG50,2023,Grassland,0,RR,2023_RRRG50_1,2023-07-11,192,2941-94715,NA,2,L,9,U,NA,33.4305,20,27,4,28.1,4.5,17.4,1.44,2.6,0.6,0.8400000000000005,0.25999999999999995,0.8599999999999998,1.149425287356322
9/5/2023,A02,B568,NA,242.3,B568,2,2.267,NA,WEBL,SFP1,2023,Forest,55.961,MB,2023_SFP1_1,2023-07-12,193,3181-01214,3181-01214,1,AHY,4,F,63.98017361111111,29.28985714285714,27.1,96,57,35.6,9,20.8,NA,NA,NA,NA,NA,NA,1.3028846153846154
9/5/2023,A02,B569,147.4,310,B569,4,147.4,310,WEBL,PICO13,2023,Orchard,62.13,PG,2023_PICO13_1,2023-07-13,194,2941-94707,2941-94707,1,AHY,3,F,60.06712673611111,33.8520625,24.7,98,57,34.9,8.4,19.7,NA,NA,NA,NA,NA,NA,1.2538071065989849
9/5/2023,A02,B573,102.235,189.35,NA,5,NA,NA,WEBL,RRRR8,2023,Row crop,0,RR,2023_RRRR8_2,2023-07-13,194,2941-94708,2941-94708,2,L,10,F,NA,NA,23.9,36,7,28.2,4.6,19.1,2.15,3.25,0.875,1.0875,0.23749999999999993,1.3000000000000003,1.25130890052356
9/5/2023,A02,B574,119.55,197.05,NA,5,NA,NA,WEBL,RRRR8,2023,Row crop,0,RR,2023_RRRR8_2,2023-07-13,194,2941-94709,2941-94709,2,L,10,F,NA,NA,25.9,49,15,30.2,5.4,19.4,1.5499999999999998,4.25,1.875,0.8249999999999997,0.20000000000000007,0.7999999999999998,1.3350515463917525
9/5/2023,A02,B575,123.75,200.8,NA,5,NA,NA,WEBL,RRRR8,2023,Row crop,0,RR,2023_RRRR8_2,2023-07-13,194,2941-94710,2941-94710,2,L,10,M,NA,NA,25.9,46,19,29.7,5.3,20,1.5624999999999998,3.875,2.375,0.7124999999999999,0.21249999999999997,0.8500000000000001,1.295
9/5/2023,A02,B576,170.95,303.35,NA,5,NA,NA,WEBL,RRRR8,2023,Row crop,0,RR,2023_RRRR8_2,2023-07-13,194,2941-94711,2941-94711,2,L,10,F,NA,NA,23.8,45,13,29.5,5.2,19.6,1.5750000000000002,3.875,1.625,0.7875000000000001,0.25,1.0000000000000002,1.2142857142857142
9/5/2023,A02,B577,108.75,164.7,B543,3,134.65,226.6,WEBL,RRRR3,2023,Row crop,0,RR,2023_RRRR3_1,2023-07-13,194,2941-94712,2941-94712,2,L,12,U,NA,33.6790625,25,35,8,29,5,20,2.575,3.25,1,1.5125000000000002,0.35,1.6625,1.25
9/5/2023,A02,B578,114.4,128.6,B543,3,134.65,226.6,WEBL,RRRR3,2023,Row crop,0,RR,2023_RRRR3_1,2023-07-13,194,2941-94713,2941-94713,2,L,12,M,NA,33.6790625,26.7,42,10,29.4,5.1,20.7,2.375,4,1.25,1.1875,0.2875,1.4,1.289855072463768
9/6/2023,A04,B581,34.205,73.575,B545,1,103.445,238.5,WEBL,RRRG50,2023,Grassland,0,RR,2023_RRRG50_1,2023-07-14,195,2941-94715,2941-94715,3,L,8,F,NA,35.55925,18.1,33,9,29.4,4.7,17.7,-0.6333333333333329,2,1.6666666666666667,0.4333333333333324,0.06666666666666672,0.10000000000000024,1.0225988700564972
